Title,Difficulty,NormalType,NormalTier,HardType,HardTier
DOMINION,ANOTHER,지력,C,지력,B
Don't believe the hype,ANOTHER,개인차,A,개인차,A+
DORNWALD ～Junge～,ANOTHER,지력,A,지력,A
Double Dribble,ANOTHER,지력,D,지력,D
Dr. Chemical & Killing Machine,ANOTHER,지력,C,지력,C
Drastic Dramatic,ANOTHER,지력,D,지력,D
Drop Syndicate,ANOTHER,지력,B+,지력,B+
DropZ-Line-,ANOTHER,지력,B,지력,B+
DRUNK MONKY,ANOTHER,지력,D,지력,D
DUAL STRIKER,ANOTHER,지력,B,지력,B+
DUE TOMORROW,ANOTHER,개인차,E,개인차,C
Dynamite,ANOTHER,지력,A,개인차,A+
EBONY & IVORY,ANOTHER,지력,C,지력,B
EBONY & IVORY,LEGGENDARIA,지력,A+,지력,S
ECHIDNA,ANOTHER,개인차,A+,개인차,S
Elektrick U-Phoria,LEGGENDARIA,지력,A,지력,A+
Elemental Creation,ANOTHER,지력,S,지력,S
Ember Lights,LEGGENDARIA,개인차,C,개인차,B
EMERALDAS,ANOTHER,지력,S,지력,S
Empire of Fury,ANOTHER,지력,B+,지력,A
encounter,ANOTHER,지력,E,지력,E
entelecheia,ANOTHER,지력,B,지력,C
eRAseRmOToRpHAntOM,ANOTHER,개인차,D,개인차,C
EROICA,ANOTHER,개인차,S,지력,S+
EVANESCENT,ANOTHER,지력,D,지력,D
Evans,ANOTHER,지력,C,지력,C
Everlasting Message,ANOTHER,지력,S,지력,S
EX-MASSIVE FIGHTER,ANOTHER,지력,C,지력,C
EXUSIA,ANOTHER,지력,A,지력,B+
EYE OF THE HEAVEN,ANOTHER,지력,C,지력,C
F,ANOTHER,지력,E,지력,E
FAKE TIME,ANOTHER,개인차,B,개인차,C
fallen leaves -IIDX edition-,ANOTHER,지력,B+,지력,A
FANTASTIC THREE,ANOTHER,지력,C,개인차,B
Fascination MAXX,ANOTHER,개인차,D,개인차,S
Feel The Beat,ANOTHER,지력,D,지력,C
Feel The Beat,LEGGENDARIA,지력,A,지력,S+
Fegrix,ANOTHER,지력,D,지력,C
fffff,ANOTHER,지력,D,지력,C
Fire Beat,ANOTHER,개인차,D,개인차,D
FIRE FIRE,ANOTHER,지력,D,지력,D
fixer,ANOTHER,지력,S,개인차,S
FiZZλ_PØT!OИ,ANOTHER,지력,S,지력,S
Flämingo,ANOTHER,지력,B+,지력,B+
Flashes,ANOTHER,개인차,B,지력,A
Flashes,LEGGENDARIA,지력,A+,지력,A+
FlyAway,ANOTHER,지력,C,지력,C
Flying Castle,ANOTHER,지력,B,지력,B
four pieces of heaven,LEGGENDARIA,지력,A,지력,A+
frequent,ANOTHER,지력,D,지력,D
Friction[!]Function,ANOTHER,지력,C,지력,C
From Human Blood,ANOTHER,지력,C,지력,C
FUZIN RIZIN,ANOTHER,지력,C,지력,C
G59,ANOTHER,지력,A,지력,B+
GAIA,ANOTHER,지력,D,지력,C
GAME ON,ANOTHER,개인차,C,개인차,B
Ganymede,LEGGENDARIA,지력,A,지력,A+
garden,LEGGENDARIA,개인차,D,지력,D
GENE,ANOTHER,지력,B,지력,B
GENE,LEGGENDARIA,지력,A,지력,A+
Ghost Pulse,ANOTHER,지력,C,지력,C
gigadelic,HYPER,지력,E,지력,F
gigadelic,ANOTHER,지력,E,지력,F
GiGaGaHell,ANOTHER,개인차,B+,개인차,A+
glacia,ANOTHER,지력,E,지력,E
Glitch N Ride,ANOTHER,지력,A+,개인차,A+
Go Ahead!!,ANOTHER,지력,S,지력,S+
Go Beyond!!,ANOTHER,지력,D,지력,S+
GO OVER WITH GLARE -ROOTAGE 26-,ANOTHER,지력,S,지력,S
God Mind,ANOTHER,지력,A+,지력,A+
Godspeed,ANOTHER,지력,C,지력,B+
GOLDEN CROSS,ANOTHER,지력,C,지력,C
Grand Chariot,ANOTHER,지력,B+,지력,B+
Gravigazer,ANOTHER,지력,C,지력,C
GRAVITON,ANOTHER,지력,B+,지력,B+
GRID KNIGHT,LEGGENDARIA,개인차,E,지력,E
GUILTY,LEGGENDARIA,지력,B,지력,B+
GuNGNiR,ANOTHER,지력,A,지력,A+
GuNGNiR,LEGGENDARIA,지력,S+,지력,S+
