Title,Difficulty,NormalType,NormalTier,HardType,HardTier
[ ]DENTITY,ANOTHER,지력,A+,지력,A+
紫陽花 -AZISAI-,ANOTHER,지력,D,지력,C
紫陽花 -AZISAI-,LEGGENDARIA,지력,A,개인차,S
アストライアの双皿,ANOTHER,개인차,B,개인차,B
天邪鬼,ANOTHER,지력,D,지력,C
アラビアン ハイパー ナイト,ANOTHER,지력,B,지력,B+
uәn,ANOTHER,지력,A,지력,A
ιgniЯRuina,ANOTHER,지력,A+,지력,A+
イザナミノナゲキ,ANOTHER,지력,C,지력,C
色を喪った街,ANOTHER,지력,A+,지력,S
栄冠のカンパネラ,ANOTHER,지력,S,지력,S
ÆTHER,LEGGENDARIA,지력,D,개인차,C
駅猫のワルツ,ANOTHER,지력,S,지력,S
ΕΛΠΙΣ,ANOTHER,지력,E,지력,E
ΕΛΠΙΣ,LEGGENDARIA,지력,B,지력,B+
焔極OVERKILL,ANOTHER,지력,S,지력,S
Ōu Legends,ANOTHER,지력,C,지력,C
お菓子の王国,ANOTHER,지력,A,지력,A+
お米の美味しい炊き方、そしてお米を食べることによるその効果。,LEGGENDARIA,지력,S,지력,S
音楽,ANOTHER,개인차,A,개인차,A+
Χ-DEN,ANOTHER,지력,S,지력,S+
蛇神,LEGGENDARIA,개인차,A+,지력,S
カゴノトリ～弐式～,ANOTHER,지력,D,지력,E
カジノファイヤーことみちゃん,LEGGENDARIA,개인차,A,지력,S
仮想空間の旅人たち,LEGGENDARIA,지력,A,지력,B+
華蝶風雪,LEGGENDARIA,지력,D,지력,D
がっつり陰キャ!?怪盗いいんちょの億劫^^;,ANOTHER,지력,A+,지력,A+
神っぽいな,LEGGENDARIA,지력,C,지력,B
神のシナリオ,ANOTHER,지력,D,개인차,C
#CMFLG,ANOTHER,지력,D,지력,C
華麗なる大犬円舞曲,ANOTHER,지력,A,지력,A
君のハートにロックオン,LEGGENDARIA,지력,A,지력,A+
キャトられ♥恋はモ～モク,ANOTHER,지력,B+,지력,A
九尾狐夜行,ANOTHER,지력,D,지력,D
共鳴遊戯の華,ANOTHER,지력,S,지력,S
閠槞彁の願い,ANOTHER,지력,A,지력,A
グッバイ宣言,LEGGENDARIA,지력,D,지력,D
クレッシェンド,ANOTHER,지력,C,지력,A
狂イ咲ケ焔ノ華,ANOTHER,지력,D,지력,C
黒髪乱れし修羅となりて,ANOTHER,지력,E,지력,E
恋する☆宇宙戦争っ!!,ANOTHER,지력,D,지력,C
恋する☆宇宙戦争っ!!,LEGGENDARIA,지력,A+,지력,A+
子供の落書き帳,ANOTHER,지력,C,지력,B+
今宵、ロマンス横丁。,ANOTHER,지력,B+,지력,A
金野火織の金色提言,ANOTHER,지력,A,지력,A+
最小三倍完全数,ANOTHER,지력,D,지력,C
逆月,ANOTHER,개인차,B,지력,B+
桜,ANOTHER,개인차,D,개인차,D
#The_Relentless,LEGGENDARIA,지력,S,지력,S
≡＋≡,LEGGENDARIA,지력,S,지력,S
残像ニ繋ガレタ追憶ノHIDEAWAY,ANOTHER,지력,F,지력,F
疾風迅雷,ANOTHER,지력,C,지력,B
疾風迅雷,LEGGENDARIA,지력,S+,지력,S+
シムルグの目醒め,ANOTHER,지력,A+,지력,A+
〆,ANOTHER,지력,D,지력,C
灼熱 Lost Summer Dayz,ANOTHER,지력,E,개인차,B+
灼熱 Pt.2 Long Train Running,ANOTHER,개인차,S+,개인차,S+
灼熱Beach Side Bunny,ANOTHER,개인차,S+,개인차,S+
"灼熱Beach Side Bunny (かめりあ's ""Summertime D'n'B"" Remix)",ANOTHER,개인차,B+,개인차,A
終焔のClaudia,ANOTHER,지력,D,지력,D
シュレーディンガーの猫,ANOTHER,지력,C,지력,C
少年A,ANOTHER,지력,E,지력,D
少年は空を辿る,ANOTHER,지력,B,지력,B+
深淵に捧ぐレクイエム,ANOTHER,지력,C,지력,B
神謳 -RESONANCE-,ANOTHER,지력,B,지력,B
真 地獄超特急 -HELL or HELL-,ANOTHER,개인차,A+,개인차,A+
新宝島,LEGGENDARIA,지력,C,지력,C
水鏡の異界,ANOTHER,개인차,B+,개인차,A
スーパー戦湯ババンバーン,ANOTHER,개인차,C,지력,C
スキッテイエェエエェ!!!!,ANOTHER,지력,A+,지력,S
スパークリング☆彡ハイパーチューン！！,ANOTHER,지력,F,지력,F
聖人の塔,ANOTHER,지력,D,지력,B+
聖人の塔,LEGGENDARIA,지력,S+,지력,S+
世界の果てに約束の凱歌を -ReUnion-,ANOTHER,지력,A,지력,A
雪月花,ANOTHER,개인차,E,개인차,E
雪上断火,ANOTHER,개인차,B,개인차,B+
千年ノ理,ANOTHER,지력,E,지력,F
千年ノ理,LEGGENDARIA,지력,S,지력,A+
旋律のドグマ～Misérables～,ANOTHER,지력,C,지력,C
ぞうしょく！？マイデンティティ,ANOTHER,지력,B+,지력,B+
即席！脳直★ミュージックシステム,ANOTHER,지력,D,지력,C
それは花火のような恋,ANOTHER,지력,C,지력,B
∀,ANOTHER,지력,A+,지력,A+
抱きしめてモナムール,ANOTHER,지력,B+,지력,B+
たまゆら,ANOTHER,지력,B,지력,B
ちょえちょえまぎか,LEGGENDARIA,지력,B+,지력,B+
超青少年ノ為ノ超多幸ナ超古典的超舞曲,LEGGENDARIA,지력,A+,지력,A+
津軽雪,ANOTHER,지력,B+,지력,A
ディスコルディア,ANOTHER,개인차,S,지력,S+
天空の夜明け,ANOTHER,지력,A,지력,A+
電光,ANOTHER,지력,C,지력,C
天使のカンタータ -Cantata of Angels-,ANOTHER,지력,S,지력,S
電人、暁に斃れる。,ANOTHER,지력,D,지력,C
電腦都市,ANOTHER,지력,B,지력,B+
東京神話,ANOTHER,지력,B+,지력,A+
童話回廊,ANOTHER,지력,B,지력,C
轟け！恋のビーンボール！！,ANOTHER,지력,B,지력,B+
トリカゴノ鳳凰,ANOTHER,지력,C,지력,C
IX,ANOTHER,지력,S,지력,S
†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),ANOTHER,지력,B+,지력,B+
嘆きの樹,ANOTHER,지력,S,지력,S
夏色DIARY - L.E.D.-G STYLE MIX -,ANOTHER,지력,C,지력,C
廿,LEGGENDARIA,지력,B,개인차,B+
ハイテックトキオ,LEGGENDARIA,개인차,C,개인차,B
儚キ戀ノ幻想譚,ANOTHER,지력,B,지력,B
伐折羅-vajra-,ANOTHER,지력,A,지력,A
刃図羅,ANOTHER,지력,D,지력,D
バッド・スイーツ、バッド・ドリーム,ANOTHER,개인차,A,개인차,A+
華爛漫-Flowers-,LEGGENDARIA,지력,C,지력,C
"ピアノ協奏曲第1番""蠍火""",ANOTHER,개인차,A,개인차,A
"ピアノ協奏曲第1番""蠍火"" (BlackY Remix)",ANOTHER,지력,A,지력,A
"ピアノ独奏無言歌 ""灰燼""",ANOTHER,개인차,A+,개인차,S
焱影,ANOTHER,개인차,B,개인차,B+
ビビッド ☆＋＊。キラキライム,ANOTHER,지력,C,지력,B
卑弥呼,ANOTHER,지력,S+,지력,S+
表裏一体!?怪盗いいんちょの悩み♥,ANOTHER,지력,D,지력,C
表裏一体!?怪盗いいんちょの悩み♥,LEGGENDARIA,지력,S,지력,S
フォニイ,LEGGENDARIA,지력,E,지력,D
二人ノ廃城幽踊宴,ANOTHER,지력,A,지력,A+
不沈艦CANDY,ANOTHER,지력,B,지력,B
⁽⁽ଘ( ˙꒳˙ )ଓ⁾⁾ beyond reason,ANOTHER,지력,A+,지력,A+
《PL|RAYER》,ANOTHER,지력,E,지력,E
紅牡丹,ANOTHER,지력,E,지력,E
ベンガル vs. アムール Battle,ANOTHER,지력,D,지력,D
烽火連天の刃,ANOTHER,지력,A,개인차,A
烽火連天の刃,LEGGENDARIA,개인차,S,지력,S+
-65℃,ANOTHER,지력,A+,지력,A+
#MAGiCVLGiRL_TRVP_B3VTZ,ANOTHER,지력,B,지력,B
摩天楼,ANOTHER,개인차,B,개인차,B
魔法のかくれんぼ,ANOTHER,개인차,D,개인차,B
未完成ノ蒸氣驅動乙女,ANOTHER,지력,B,지력,B+
禊,ANOTHER,지력,C,지력,C
ミュージック・アワー,LEGGENDARIA,지력,B+,지력,A
ミラージュ･レジデンス,LEGGENDARIA,개인차,B,개인차,B+
魅惑のYUMMYスイーツ,ANOTHER,지력,B,지력,B+
冥,ANOTHER,지력,A,지력,S+
めいさいアイドル☆あいむちゃん♪,ANOTHER,지력,C,지력,C
ラブコメトキドキシリアス,ANOTHER,지력,B,지력,B
龍王の霊廟(Mausoleum Of The Primal Dragon),LEGGENDARIA,지력,C,지력,C
龍と少女とデコヒーレンス,LEGGENDARIA,지력,B,지력,B
リリーゼと炎龍レーヴァテイン,ANOTHER,지력,B,지력,B
恋愛＝精度×認識力,ANOTHER,지력,B,개인차,A+
煉獄のエルフェリア,ANOTHER,지력,A+,지력,S
惑星鉄道,ANOTHER,지력,S+,지력,S+
海神,ANOTHER,개인차,C,개인차,C
海神,LEGGENDARIA,지력,B+,개인차,A
"ワルツ第17番 ト短調""大犬のワルツ""",ANOTHER,개인차,D,개인차,B
